informal,formal
तु काय करतोस?,तुम्ही काय करता?
काय चाललंय?,काय चाललंय का?
चल निघूया.,चल निघूया आहे.
हे मस्त आहे!,हे मस्त आहे आहे!
बघितलंस का?,बघितलंत का?
सांग ना मला!,सांग ना मला आहे!
काय रे हाच का?,काय रे हाच आहे का?
अजून वेळ लागेल का?,अजून वेळ लागेल आहे का?
खूप भूक लागलीय.,खूप भूक लागली आहे.
चल भेटू नंतर.,चल भेटू नंतर आहे.
माझं काम झालं.,माझं काम झालं आहे.
कधी येणार?,कधी येणार?
हा भारी आहे!,हा भारी आहे आहे!
थांब जरा!,थांब जरा आहे!
मस्त चाललंय!,मस्त चाललंय आहे!
तुला माहित आहे का?,तुम्हाला माहित आहे का?
हे खरं आहे का?,हे खरं आहे आहे का?
सुट्टी आहे का?,सुट्टी आहे आहे का?
काय झालं रे तुला?,काय झालं आहे का?
हे घे.,हे घे आहे.
थोडं थांब.,थोडं थांब आहे.
आपण भेटलो का पूर्वी?,आपण भेटलो का पूर्वी?
तू कुठे जातोय?,तुम्ही कुठे जाता?
काय रे मजा!,काय मजा आहे!
काय करतोय तू उद्या?,तुम्ही काय करता उद्या?
माझं काही समजलं नाही!,माझं काही समजलं नाही आहे.
तू आला का?,तुम्ही आला का?
थांब थोडा,थांब थोडा आहे.
कस वाटतंय?,कस वाटतंय आहे?
आता पोहचशील का?,आता पोहचशील आहात का?
हे मला द्या.,हे मला द्या आहे.
काय खायला आहे?,काय खायला आहे आहे?
तुझ्या घरात कोण आहे?,तुमच्या घरात कोण आहे?
मला नको आहे.,मला नको आहे आहे.
थोडा जलद करा!,थोडा जलद करा आहे!
किती वाजले?,किती वाजले आहे?
तू तयार आहेस?,तुम्ही तयार आहात का?
अरे रडू नकोस!,अरे रडू नका!
काय करत आहेस?,तुम्ही काय करता आहात?
काय झालं?,काय झालं आहे?
खूप थकलेय.,खूप थकले आहेत.
आता काहीतरी खाऊ का?,आता काहीतरी खाऊ का?
मला समजलं नाही.,मला समजलं नाही आहे.
काय करतोस?,काय करता आहात?
थांब ना!,थांब ना आहे.
माझं लक्ष नाही आहे.,माझं लक्ष नाही आहे.
तू येणार आहेस?,तुम्ही येणार आहात का?
कधी भेटू?,कधी भेटू?
तुझं नाव काय?,तुमचं नाव काय?
हे सगळं खरं का?,हे सगळं खरं आहे का?
मला काही सांग.,मला काही सांग आहे.
आधी जा.,आधी जा आहे.
किती दिवस झाले?,किती दिवस झाले आहेत?
आता पोहचलंय?,आता पोहचलं आहे का?
तू उशिरा आला?,तुम्ही उशिरा आला का?
हे किती आहे?,हे किती आहे?
मला मदत करशील का?,मला मदत कराल का?
तू ठीक आहेस का?,तुम्ही ठीक आहात का?
कस चाललंय?,कस चाललंय आहे?
कधी सुट्टी आहे?,कधी सुट्टी आहे?
हे घ्या!,हे घ्या आहे!
माझा नंबर घेतला?,माझा नंबर घेतला का?
खूप थंड आहे!,खूप थंड आहे आहे!
काय चाललंय ग?,काय चाललंय आहे ग?
कस वाटलं?,कस वाटलं आहे?
काय करतोस आता?,काय करता आहात आता?
तुम्ही तयार आहात का?,तुम्ही तयार आहात का?
आम्ही जाऊया का?,आम्ही जाऊया का?
थोडं शांत!,थोडं शांत आहे!
मला समजलं का?,मला समजलं आहे का?
कधी येणार आहेस?,कधी येणार आहात?
काय बघतोय?,काय बघता आहात?
आता काहीच नाही.,आता काहीच नाही आहे.
तुझा मित्र आला?,तुमचा मित्र आला का?
हे काय आहे?,हे काय आहे?
काय झालं?,काय झाले आहे?
काय करणार?,काय करणार आहात?
मला सांगशील का?,मला सांगाल का?
आता थांब!,आता थांब आहे!
तू तयार आहेस?,तुम्ही तयार आहात का?
खूप मजा आली!,खूप मजा आली आहे!
काय खायला आहे?,काय खायला आहे?
हे घे,हे घे आहे
तुझा अभ्यास झाला?,तुमचा अभ्यास झाला का?
माझं काम संपलं.,माझं काम संपलं आहे.
आता निघूया?,आता निघूया का?
कस चाललंय?,कस चाललंय आहे?
तुम्ही तयार आहात?,तुम्ही तयार आहात का?
खूप गरम आहे!,खूप गरम आहे आहे!
माझं लक्ष नाहीं.,माझं लक्ष नाही आहे.
कस वाटलं?,कस वाटलं आहे?
काय करतोय?,तुम्ही काय करता आहात?
काय चाललंय?,काय चाललंय आहे?
थोडं थांब.,थोडं थांब आहे.
कस आहे?,कस आहे?
तू आला?,तुम्ही आला का?
तु काय करतोस?,तुम्ही काय करता आहात?
काय चाललंय?,काय चाललंय आहे?
तु काय करतोस?,चल निघूया आहे.
काय चाललंय?,हे मस्त आहे आहे!
चल निघूया.,बघितलं का?
हे मस्त आहे!,सांग ना मला आहे!
बघितलंस का?,काय रे हाच आहे का?
सांग ना मला!,अजून वेळ लागेल आहे का?
काय रे हाच का?,खूप भूक लागली आहे.
अजून वेळ लागेल का?,चल भेटू नंतर आहे.
खूप भूक लागलीय.,माझं काम झालं आहे.
चल भेटू नंतर.,कधी येणार?
माझं काम झालं.,हा भारी आहे आहे!
कधी येणार?,थांब जरा आहे!
हा भारी आहे!,मस्त चाललंय आहे!
थांब जरा!,तुम्हाला माहित आहे का?
मस्त चाललंय!,हे खरं आहे आहे का?
तुला माहित आहे का?,सुट्टी आहे आहे का?
हे खरं आहे का?,काय झाले आहे?
सुट्टी आहे का?,हे घे आहे.
काय झालं रे तुला?,तुम्ही काय करता?
हे घे.,काय चाललंय का?
थोडं थांब.,चल निघूया आहे.
आपण भेटलो का पूर्वी?,हे मस्त आहे आहे!
तू कुठे जातोय?,बघितलंत का?
काय रे मजा!,सांग ना मला आहे!
काय करतोय तू उद्या?,काय रे हाच आहे का?
माझं काही समजलं नाही!,अजून वेळ लागेल आहे का?
तू आला का?,खूप भूक लागली आहे.
थांब थोडा,चल भेटू नंतर आहे.
कस वाटतंय?,माझं काम झालं आहे.
आता पोहचशील का?,कधी येणार?
हे मला द्या.,हा भारी आहे आहे!
काय खायला आहे?,थांब जरा आहे!
तुझ्या घरात कोण आहे?,मस्त चाललंय आहे!
मला नको आहे.,तुम्हाला माहित आहे का?
थोडा जलद करा!,हे खरं आहे आहे का?
किती वाजले?,सुट्टी आहे आहे का?
तू तयार आहेस?,काय झालं आहे का?
अरे रडू नकोस!,हे घे आहे.
काय करत आहेस?,थोडं थांब आहे.
काय झालं?,आपण भेटलो का पूर्वी?
खूप थकलेय.,तुम्ही कुठे जाता?
आता काहीतरी खाऊ का?,काय मजा आहे!
मला समजलं नाही.,तुम्ही काय करता उद्या?
काय करतोस?,माझं काही समजलं नाही आहे.
थांब ना!,तुम्ही आला का?
माझं लक्ष नाही आहे.,थांब थोडा आहे.
तू येणार आहेस?,कस वाटतंय आहे?
कधी भेटू?,आता पोहचशील आहात का?
तुझं नाव काय?,हे मला द्या आहे.
हे सगळं खरं का?,काय खायला आहे आहे?
मला काही सांग.,तुमच्या घरात कोण आहे?
