informal,formal,input_processed,target_processed
तु काय करतोस?,तुम्ही काय करता?,तु काय आहे करतोस,तुम्ही काय आहे करता
काय चाललंय?,काय चाललंय का?,सध्या काय सुरू आहे?,काय आहे चाललंय का
चल निघूया.,चल निघूया आहे.,चला निघूया,चला निघूया आहे
हे मस्त आहे!,हे मस्त आहे आहे!,हे छान आहे,हे छान आहे आहे
बघितलंस का?,बघितलंत का?,बघितलंस का,बघितलंत का
सांग ना मला!,सांग ना मला आहे!,कृपया सांगा कृपया माझ्यासाठी,कृपया सांगा कृपया माझ्यासाठी आहे
काय रे हाच का?,काय रे हाच आहे का?,काय आहे महोदय हाच का,काय आहे महोदय हाच आहे का
अजून वेळ लागेल का?,अजून वेळ लागेल आहे का?,अजून वेळ लागेल का,अजून वेळ लागेल आहे का
खूप भूक लागलीय.,खूप भूक लागली आहे.,अत्यंत भूक लागलीय,अत्यंत भूक लागली आहे
चल भेटू नंतर.,चल भेटू नंतर आहे.,चला भेटूया पश्चात,चला भेटूया पश्चात आहे
माझं काम झालं.,माझं काम झालं आहे.,माझं काम झाले आहे,माझं काम झाले आहे आहे
कधी येणार?,कधी येणार?,कधी येणार,कधी येणार
हा भारी आहे!,हा भारी आहे आहे!,हा छान आहे,हा छान आहे आहे
थांब जरा!,थांब जरा आहे!,थांबा जरा,थांबा जरा आहे
मस्त चाललंय!,मस्त चाललंय आहे!,छान चाललंय,छान चाललंय आहे
तुला माहित आहे का?,तुम्हाला माहित आहे का?,तुला माहिती आहे का,तुम्हाला माहिती आहे का
हे खरं आहे का?,हे खरं आहे आहे का?,हे खरं आहे का,हे खरं आहे आहे का
सुट्टी आहे का?,सुट्टी आहे आहे का?,सुट्टी आहे का,सुट्टी आहे आहे का
काय झालं रे तुला?,काय झालं आहे का?,काय आहे झाले आहे महोदय तुला,काय आहे झाले आहे आहे का
हे घे.,हे घे आहे.,हे घे,हे घे आहे
थोडं थांब.,थोडं थांब आहे.,थोडं थांबा,थोडं थांबा आहे
